,Time,"v(t,i-1)","x(t,i-1)",x_i1,s_i1,v_i1,a_i1,x_i2,s_i2,v_i2,a_i2,x_i3,s_i3,v_i3,a_i3,x_i4,s_i4,v_i4,a_i4,x_i5,s_i5,v_i5,a_i5,x_i6,s_i6,v_i6,a_i6,x_i7,s_i7,v_i7,a_i7,x_i8,s_i8,v_i8,a_i8,x_i9,s_i9,v_i9,a_i9,x_i10,s_i10,v_i10,a_i10
0,0.0,0.0,5000.0,467.0,4533.0,30.0,0.0,367.0,100.0,30.0,0.0,267.0,100.0,30.0,0.0,167.0,100.0,30.0,0.0,67.0,100.0,30.0,0.0,-33.0,100.0,30.0,0.0,-133.0,100.0,30.0,0.0,-233.0,100.0,30.0,0.0,-333.0,100.0,30.0,0.0,-433.0,100.0,30.0,0.0
1,1.0,0.0,5000.0,497.0,4503.0,30.0,0.0,397.0,100.0,30.0,0.0,297.0,100.0,30.0,0.0,197.0,100.0,30.0,0.0,97.0,100.0,30.0,0.0,-3.0,100.0,30.0,0.0,-103.0,100.0,30.0,0.0,-203.0,100.0,30.0,0.0,-303.0,100.0,30.0,0.0,-403.0,100.0,30.0,0.0
2,2.0,0.0,5000.0,526.840106595603,4473.159893404397,29.840106595602933,-0.15989340439706862,427.0,99.84010659560295,30.0,0.0,327.0,100.0,30.0,0.0,227.0,100.0,30.0,0.0,127.0,100.0,30.0,0.0,27.0,100.0,30.0,0.0,-73.0,100.0,30.0,0.0,-173.0,100.0,30.0,0.0,-273.0,100.0,30.0,0.0,-373.0,100.0,30.0,0.0
3,3.0,0.0,5000.0,556.5209643411123,4443.479035658887,29.68085774550931,-0.15924885009362147,456.96156412651806,99.55940021459423,29.961564126518084,-0.038435873481916114,357.0,99.96156412651806,30.0,0.0,257.0,100.0,30.0,0.0,157.0,100.0,30.0,0.0,57.0,100.0,30.0,0.0,-43.0,100.0,30.0,0.0,-143.0,100.0,30.0,0.0,-243.0,100.0,30.0,0.0,-343.0,100.0,30.0,0.0
4,4.0,0.0,5000.0,586.0432160377235,4413.956783962277,29.522251696611225,-0.15860604889808477,486.8555472735028,99.18766876422069,29.89398314698475,-0.06758097953333644,386.99077184344173,99.86477543006106,29.99077184344176,-0.009228156558239258,287.0,99.99077184344173,30.0,0.0,187.0,100.0,30.0,0.0,87.0,100.0,30.0,0.0,-13.0,100.0,30.0,0.0,-113.0,100.0,30.0,0.0,-213.0,100.0,30.0,0.0,-313.0,100.0,30.0,0.0
5,5.0,0.0,5000.0,615.4075027359632,4384.592497264037,29.36428669823973,-0.15796499837149525,516.659902071713,98.74760066425029,29.804354798210177,-0.08962834877457161,416.95829010062175,99.70161197109121,29.96751825718001,-0.023253586261748747,316.9977850380259,99.96050506259587,29.997785038025864,-0.002214961974136372,217.0,99.99778503802588,30.0,0.0,117.0,100.0,30.0,0.0,17.0,100.0,30.0,0.0,-83.0,100.0,30.0,0.0,-183.0,100.0,30.0,0.0,-283.0,100.0,30.0,0.0
6,6.0,0.0,5000.0,644.614463738128,4355.385536261872,29.206961002164764,-0.15732569607496533,546.3579985248198,98.25646521330827,29.698096453106775,-0.1062583451034009,446.886574457054,99.47142406776578,29.92828435643224,-0.039233900747770355,346.9883037151222,99.89827074193181,29.990518677096308,-0.00726636092955618,246.99946839735142,99.98883531777076,29.99946839735141,-0.0005316026485892285,147.0,99.99946839735142,30.0,0.0,47.0,100.0,30.0,0.0,-53.0,100.0,30.0,0.0,-153.0,100.0,30.0,0.0,-253.0,100.0,30.0,0.0
7,7.0,0.0,5000.0,673.6647366007231,4326.335263399277,29.05027286259508,-0.15668813956968294,575.9373381066147,97.72739849410846,29.57933958179494,-0.11875687131183597,476.7594529190541,99.17788518756055,29.87287846200015,-0.055405894432090735,376.9638756705796,99.7955772484745,29.975571955457422,-0.01494672163888578,276.99678866007076,99.96708701050886,29.99732026271934,-0.0021481346320703105,176.99987241468608,99.99691624538468,29.99987241468609,-0.00012758531390834313,77.0,99.99987241468608,30.0,0.0,-23.0,100.0,30.0,0.0,-123.0,100.0,30.0,0.0,-223.0,100.0,30.0,0.0
8,8.0,0.0,5000.0,702.5589571369013,4297.441042863099,28.894220536178167,-0.15605232641691236,605.3885707755907,97.17038636131065,29.451232668975955,-0.12810691281898612,506.5615990699092,98.82697170568144,29.80214615085511,-0.07073231114503856,406.9147708113937,99.64682825851554,29.95089514081405,-0.024676814643369238,306.9888880769488,99.92588273444488,29.992099416878037,-0.005220845841305705,206.9991322966161,99.9897557803327,29.99925988193,-0.0006125327560902483,106.99996937948559,99.9991629171305,29.999969379485595,-3.0620514405305124e-05,7.0,99.99996937948559,30.0,0.0,-93.0,100.0,30.0,0.0,-193.0,100.0,30.0,0.0
9,9.0,0.0,5000.0,731.2977594189015,4268.7022405810985,28.738802282000172,-0.15541825417799388,634.7047442395,96.5930151794015,29.316173463909323,-0.13505920506663216,536.2790883730008,98.42565586649914,29.71748930309162,-0.08465684776348778,436.8298983077906,99.44919006521025,29.915127496396877,-0.03576764441717446,336.97109373889333,99.85880456889726,29.982205661944526,-0.009893754933509977,236.99667353326853,99.9744202056248,29.99754123665245,-0.0017186452775522696,136.99976847830627,99.99690505496227,29.999799098820663,-0.00017028066493131975,36.999992651074294,99.99977582723197,29.999992651074294,-7.348925707465484e-06,-63.0,99.9999926510743,30.0,0.0,-163.0,100.0,30.0,0.0
10,10.0,0.0,5000.0,759.8817757804873,4240.118224219513,28.584016361585828,-0.1547859204143442,663.8807310558304,96.00104472465682,29.175986816330518,-0.1401866475788037,565.8996427942016,97.98108826162888,29.62055442120077,-0.09693488189085435,466.6974648597735,99.20217793442805,29.86756655198289,-0.04756094441398614,366.9371874406472,99.76027741912628,29.96609370175387,-0.016111960190654865,266.9905335920057,99.94665384864152,29.993860058737198,-0.003681177915250654,166.9990256770639,99.99150791494179,29.99925719875764,-0.0005419000630231704,66.99993884951496,99.99908682754895,29.999946198440668,-4.6452633626316754e-05,-33.000001763742304,99.99994061325727,29.9999982362577,-1.7637422991032702e-06,-133.0,99.9999982362577,30.0,0.0
11,11.0,0.0,5000.0,788.3116368193856,4211.688363180614,28.42986103889837,-0.15415532268745677,692.9127917535832,95.39884506580245,29.03206069775275,-0.14392611857776838,595.4126798226679,97.5001119309153,29.513037028466368,-0.1075173927344026,496.50553553044494,98.90714429222294,29.808070670671423,-0.05949588131146616,396.87960459395043,99.62593093649451,29.942417153303232,-0.023676548450639157,296.9777275328199,99.9018770611305,29.98719394081425,-0.0066661179229479455,196.9969874842829,99.98074004853703,29.997961807219,-0.0012953915386388266,96.99971968681822,99.99726779746467,29.999780837303263,-0.00016536113740505073,-3.0000160165673755,99.9997357033856,29.99998574717493,-1.2489082770156408e-05,-103.00000042329816,99.99998440673079,29.99999957670184,-4.232981596226923e-07
12,12.0,0.0,5000.0,816.5879713997251,4183.412028600274,28.27633458033947,-0.15352645855890173,721.7982418961581,94.78972950356706,28.88545014257492,-0.1466105551778304,624.8092445970861,96.98899729907191,29.39656477441829,-0.1164722540480767,526.2424737568829,98.56677084020328,29.736938226437946,-0.07113244423347795,426.78971964768397,99.4527541091989,29.910115053733556,-0.03230209956967798,326.9541690813818,99.83555056630217,29.97644154856186,-0.010752392252393217,226.992364681346,99.96180440003579,29.9953771970631,-0.0025846101559005566,126.99906394816243,99.99330073318357,29.99934426134421,-0.00043657595905430844,26.99992055213174,99.99914339603069,29.999936568699116,-4.917847581255499e-05,-73.00000416568325,99.99992471781499,29.99999625761491,-3.319086929197394e-06
13,13.0,0.0,5000.0,844.7114066544742,4155.288593345525,28.123435254749143,-0.15289932559032643,750.5351985063963,94.17620814807788,28.736956610238327,-0.1484935323365938,654.0818776695543,96.45332083684207,29.272633072468174,-0.12393170195011678,555.8972612606759,98.18461640887836,29.654787503792992,-0.0821507226449546,456.6581687757189,99.23909248495704,29.868449128034886,-0.041665925698668026,356.9146785714009,99.743490204318,29.960509490019074,-0.015932058542782908,256.983196286839,99.93148228456187,29.990831605493003,-0.0045455915700979505,156.99745607110373,99.98574021573529,29.99839212294131,-0.0009521384028991829,56.999714966148545,99.99774110495518,29.9997944140168,-0.00014215468231372453,-43.00002223341713,99.99973719956567,29.999981932266124,-1.432534878796392e-05
14,14.0,0.0,5000.0,872.6825679878799,4127.31743201212,27.97116133340569,-0.15227392134345533,779.1223870432,93.56018094467993,28.58718853680368,-0.1497680734346458,683.224452716952,95.89793432624799,29.14257504739769,-0.13005802507048725,585.4597108087356,97.76474190821637,29.562449548059668,-0.09233795573332242,486.47517252113704,98.98453828759858,29.817003745418155,-0.05144538261673181,386.85306591315157,99.62210660798547,29.938387341750694,-0.02212214826837864,286.9667478205203,99.88631809263126,29.983551533681307,-0.007280071811694987,186.99403350833825,99.97271431218206,29.99657743723451,-0.0018146857068003345,86.99917282501113,99.99486068332712,29.999457858862588,-0.0003365551542140932,-13.000085305622008,99.99925813063314,29.99993692779512,-4.500447100521438e-05
15,15.0,0.0,5000.0,900.5020790779055,4099.497920922095,27.8195110900256,-0.1516502433800904,807.5589945475215,92.943084530384,28.436607504321486,-0.1505810324821921,712.2320059357439,95.32698861177755,29.007553218791998,-0.13502182860569215,614.9205898437448,97.31141609199915,29.460879035009146,-0.10157051305052003,516.2308330015373,98.68975684220743,29.755660480400362,-0.061343265017792095,416.76227074312715,99.4685622584102,29.909204829975565,-0.02918251177512809,316.93945356148777,99.82281718163938,29.972705740967452,-0.010845792713855329,216.98748423223054,99.95196932925722,29.99345072389228,-0.003126713342230283,116.9979393596464,99.98954487258415,29.99876653463527,-0.0006913242273194305,16.99973664501805,99.99820271462835,29.999821950640058,-0.00011497715506029371
16,16.0,0.0,5000.0,928.170561878669,4071.829438121331,27.66848280076349,-0.1510282892621113,835.8445579704951,92.3260039081739,28.285563422973663,-0.15104408134782432,741.1005702831682,94.74398768732692,28.868564347424265,-0.1389888713677326,644.2716739332368,96.82889634993137,29.351084089492012,-0.10979494551713356,545.9153905275024,98.35628340573442,29.684557525965023,-0.071102954435339,446.634540169211,99.28085035829139,29.872269426083836,-0.036935403891730154,346.8969059231323,99.7376342460787,29.957452361644528,-0.015253379322925297,246.97595485516194,99.92095106797035,29.988470622931395,-0.004980100960885775,146.9954300187639,99.98052483639805,29.99749065911749,-0.001275875517780845,46.999305292767716,99.99612472599618,29.999568647749662,-0.00025330289039597023
17,17.0,0.0,5000.0,955.688636622881,4044.311363377119,27.51807474421201,-0.15040805655147554,863.9788792962241,91.70975732665681,28.134321325729,-0.15124209724466278,769.8270219742609,94.15185732196323,28.72645169109273,-0.14211265633153233,673.505747683393,96.3212742908679,29.234073750156213,-0.11701033933579885,575.5194325149326,97.98631516846035,29.60404198743025,-0.0805155385347729,476.46162561119644,99.0578069037362,29.82708544198543,-0.045183984098404024,376.8338896722746,99.62773593892183,29.936983749142343,-0.020468612502184236,276.95697806925716,99.87691160301745,29.98102321409524,-0.007447408836153889,176.9907556286246,99.96622244063255,29.995325609860707,-0.0021650492567828025,76.99837521108928,99.99238041753533,29.99906991832157,-0.0004987294280928976
